id,name,parent,type,is_deleted,created_at,updated_at,active,source_id
1830807,LSD Road,1830461,7,FALSE,now(),now(),TRUE,148501
1830808,LSD Road,1830461,7,FALSE,now(),now(),TRUE,95595
1830809,Kachabazar,1830461,7,FALSE,now(),now(),TRUE,70356
1830810,Babu Market,1830461,7,FALSE,now(),now(),TRUE,133146
1830811,LSD Road bazar,1830461,7,FALSE,now(),now(),TRUE,148503
1830812,Babu Market,1830461,7,FALSE,now(),now(),TRUE,148504
1830813,LSD,1830461,7,FALSE,now(),now(),TRUE,148500
1830814,Golchottor,1830461,7,FALSE,now(),now(),TRUE,148508
1830815,Vitor Bazar,1830461,7,FALSE,now(),now(),TRUE,92534
1830816,Golchottor,1830461,7,FALSE,now(),now(),TRUE,148506
1830817,LSD,1830461,7,FALSE,now(),now(),TRUE,148499
1830818,Golchottor,1830461,7,FALSE,now(),now(),TRUE,148507
1830819,Kalabgonj,1830462,7,FALSE,now(),now(),TRUE,148441
1830820,Bot Tola,1830462,7,FALSE,now(),now(),TRUE,34414
1830821,Moydan Hat,1830462,7,FALSE,now(),now(),TRUE,148442
1830822,Harir Haat,1830462,7,FALSE,now(),now(),TRUE,148447
1830823,Sonahar Road,1830462,7,FALSE,now(),now(),TRUE,148445
1830824,Hospital Gate,1830462,7,FALSE,now(),now(),TRUE,42126
1830825,Sonahar bazar,1830462,7,FALSE,now(),now(),TRUE,148446
1830826,Sonahar,1830462,7,FALSE,now(),now(),TRUE,148444
1830827,Nurur Bazaar,1830462,7,FALSE,now(),now(),TRUE,148443
1830828,Sonahar,1830462,7,FALSE,now(),now(),TRUE,148448
1830829,Traffic Mor,1830463,7,FALSE,now(),now(),TRUE,148460
1830830,Dhangir Hat,1830463,7,FALSE,now(),now(),TRUE,95520
1830831,Dula Jhari,1830463,7,FALSE,now(),now(),TRUE,148459
1830832,Farmgate,1830463,7,FALSE,now(),now(),TRUE,95562
1830833,Traffic Mor,1830463,7,FALSE,now(),now(),TRUE,148458
1830834,Kalibari,1830463,7,FALSE,now(),now(),TRUE,56678
1830835,Taka Hara,1830463,7,FALSE,now(),now(),TRUE,148457
1830836,Dhangir Hat,1830463,7,FALSE,now(),now(),TRUE,148461
1830837,Debigonj Chowrasta,1830464,7,FALSE,now(),now(),TRUE,148463
1830838,Fulbari,1830464,7,FALSE,now(),now(),TRUE,124370
1830839,Hospital,1830464,7,FALSE,now(),now(),TRUE,48667
1830840,Traffic Mor,1830464,7,FALSE,now(),now(),TRUE,148460
1830841,Pakhorer Mor,1830464,7,FALSE,now(),now(),TRUE,148465
1830842,Traffic Mor,1830464,7,FALSE,now(),now(),TRUE,148458
1830843,Babur Hat,1830464,7,FALSE,now(),now(),TRUE,70951
1830844,Gazukati Bazar,1830464,7,FALSE,now(),now(),TRUE,148462
1830845,Debigonj Chowrasta,1830464,7,FALSE,now(),now(),TRUE,148469
1830846,Gazukati,1830464,7,FALSE,now(),now(),TRUE,148464
1830847,Debigonj Chowrasta,1830464,7,FALSE,now(),now(),TRUE,148466
1830848,Bus Stand,1830464,7,FALSE,now(),now(),TRUE,12252
1830849,Bus Stand,1830464,7,FALSE,now(),now(),TRUE,45586
1830850,Gazukati Bazar,1830464,7,FALSE,now(),now(),TRUE,148468
1830851,Farm Gate,1830464,7,FALSE,now(),now(),TRUE,148467
1830852,Farm Gate,1830464,7,FALSE,now(),now(),TRUE,95561
1830853,Debigonj Bazar,1830465,7,FALSE,now(),now(),TRUE,148514
1830854,Beltoli,1830465,7,FALSE,now(),now(),TRUE,33606
1830855,Board Bazaar,1830465,7,FALSE,now(),now(),TRUE,148510
1830856,Gelondi Bazar,1830465,7,FALSE,now(),now(),TRUE,148513
1830857,Dadar Haat,1830465,7,FALSE,now(),now(),TRUE,148511
1830858,Bottoli Bazar,1830465,7,FALSE,now(),now(),TRUE,37547
1830859,Shiber Haat,1830465,7,FALSE,now(),now(),TRUE,148509
1830860,Doshemana,1830465,7,FALSE,now(),now(),TRUE,148512
1830861,Board Bazaar,1830465,7,FALSE,now(),now(),TRUE,148516
1830862,Shiber Haat,1830465,7,FALSE,now(),now(),TRUE,148517
1830863,Debigonj Bazar,1830465,7,FALSE,now(),now(),TRUE,148515
1830864,Fulbari Bazar,1830466,7,FALSE,now(),now(),TRUE,33147
1830865,Moumari Bazar,1830466,7,FALSE,now(),now(),TRUE,148451
1830866,Fulbari Mor,1830466,7,FALSE,now(),now(),TRUE,148449
1830867,Mota Sonnashi,1830466,7,FALSE,now(),now(),TRUE,148452
1830868,Prem Bazar,1830466,7,FALSE,now(),now(),TRUE,111828
1830869,Fulbari Bazar,1830466,7,FALSE,now(),now(),TRUE,148455
1830870,Fulbari,1830466,7,FALSE,now(),now(),TRUE,124370
1830871,Fulbari Mor,1830466,7,FALSE,now(),now(),TRUE,148450
1830872,Fulbari,1830466,7,FALSE,now(),now(),TRUE,132354
1830873,Fulbari,1830466,7,FALSE,now(),now(),TRUE,64641
1830874,Prem Bazar,1830466,7,FALSE,now(),now(),TRUE,148454
1830875,Hazera Danga,1830466,7,FALSE,now(),now(),TRUE,148456
1830876,Hazera Danga,1830466,7,FALSE,now(),now(),TRUE,148453
1830877,Moratoli,1830467,7,FALSE,now(),now(),TRUE,148473
1830878,Teprigonj Mor,1830467,7,FALSE,now(),now(),TRUE,148471
1830879,Kaderer More,1830467,7,FALSE,now(),now(),TRUE,109145
1830880,LSD Mor,1830467,7,FALSE,now(),now(),TRUE,148474
1830881,Tistar Hat,1830467,7,FALSE,now(),now(),TRUE,148470
1830882,Teprigonj bazar,1830467,7,FALSE,now(),now(),TRUE,148472
1830883,LSD Road,1830467,7,FALSE,now(),now(),TRUE,95595
1830884,Teprigonj,1830467,7,FALSE,now(),now(),TRUE,95546
1830885,Teprigonj bazar,1830467,7,FALSE,now(),now(),TRUE,148477
1830886,LSD Mor,1830467,7,FALSE,now(),now(),TRUE,148475
1830887,Teprigonj Mor,1830467,7,FALSE,now(),now(),TRUE,148476
1830888,Moktar Para,1830468,7,FALSE,now(),now(),TRUE,148740
1830889,Moktar Para,1830468,7,FALSE,now(),now(),TRUE,92176
1830890,Sheikher Hat,1830468,7,FALSE,now(),now(),TRUE,148743
1830891,Chilakhana,1830468,7,FALSE,now(),now(),TRUE,92173
1830892,Chang Mari,1830468,7,FALSE,now(),now(),TRUE,92169
1830893,Sheikher Hat,1830468,7,FALSE,now(),now(),TRUE,62872
1830894,Chilakhana,1830468,7,FALSE,now(),now(),TRUE,92172
1830895,Mominpur Hat,1830468,7,FALSE,now(),now(),TRUE,92178
1830896,Moktar Para,1830468,7,FALSE,now(),now(),TRUE,92175
1830897,Chang Mari,1830468,7,FALSE,now(),now(),TRUE,148741
1830898,Chang Mari,1830468,7,FALSE,now(),now(),TRUE,92170
1830899,Board Ghor Road,1830468,7,FALSE,now(),now(),TRUE,148742
1830900,Mominpur Hat,1830468,7,FALSE,now(),now(),TRUE,92179
1830901,Ambagan,1830469,7,FALSE,now(),now(),TRUE,142959
1830902,Pathaner Hat,1830469,7,FALSE,now(),now(),TRUE,92129
1830903,Bater Tal,1830469,7,FALSE,now(),now(),TRUE,92115
1830904,Laldighi Bazar Vitor,1830469,7,FALSE,now(),now(),TRUE,148746
1830905,Laldighi Bazar Vitor,1830469,7,FALSE,now(),now(),TRUE,148744
1830906,Kalir Ghat,1830469,7,FALSE,now(),now(),TRUE,92119
1830907,Chompatoli,1830469,7,FALSE,now(),now(),TRUE,92117
1830908,Kalir Ghat,1830469,7,FALSE,now(),now(),TRUE,92120
1830909,Kalir Ghat,1830469,7,FALSE,now(),now(),TRUE,92122
1830910,Laldighi Bazar,1830469,7,FALSE,now(),now(),TRUE,92124
1830911,Hatkola para,1830469,7,FALSE,now(),now(),TRUE,92118
1830912,Bater Tal,1830469,7,FALSE,now(),now(),TRUE,92114
1830913,Bater Tal,1830469,7,FALSE,now(),now(),TRUE,92116
1830914,Laldighi Bazar,1830469,7,FALSE,now(),now(),TRUE,148745
1830915,Pakar Matha,1830470,7,FALSE,now(),now(),TRUE,70976
1830916,Pakar Matha,1830470,7,FALSE,now(),now(),TRUE,76630
